local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0096	0.981	winter	0.3478	survive in	horse
0.0037	0.8609	sound	0.3478	can	earphone
0.0988	0.8557	fur	0.3478	need	mammal
0.1137	0.8461	us	0.3478	bite	bug
1.0	0.7236	ring	0.3478	communicate in	wrestler
0.4162	0.8665	emerging market	0.3478	has_property	china
0.0081	0.8326	rap	0.3478	has_property	blood clotting
0.0011	0.8622	oxford	0.3478	has_property	blood clotting
0.0012	0.9143	done	0.3478	has_property	blood clotting
0.0043	0.8542	dip	0.3478	has_property	blood clotting
0.0038	0.8956	app	0.3478	has_property	blood clotting
0.487	0.8617	clockwise	0.3478	has_movement	clock
0.2867	0.6835	mentor	0.3478	explode with	pop
1.0	0.8862	in a specific place on periodic table	0.3478	be placed	element
1.0	0.8797	as not birds	0.3478	be classified	bat
0.2272	0.6789	ordained	0.3478	get	bishop
0.0002	0.9121	yellow	0.3478	has_color	coral
0.0007	0.9435	pd	0.3478	has_property	messaging
1.0	0.7218	babies	0.3478	put necklaces on	parent
1.0	0.8093	ceiling	0.3478	hang from	spider
1.0	0.8859	blood flow	0.3478	contribute to	skeletal muscle
0.0094	0.9759	in the game	0.3478	has_property	spitter
0.2753	0.8497	computing	0.3478	be important in	number
0.0699	0.7297	recruit	0.3478	can	company
0.0902	0.8826	good for society	0.3478	has_property	adoption
0.7921	0.6883	silverfish	0.3478	have	house
0.3544	0.7735	co2	0.3478	reduce	weathering
0.0003	0.9583	uk	0.3478	has_property	fog
0.0085	0.8741	sore	0.3478	has_property	rib
0.4192	0.8689	two pairs of socks	0.3478	wear	basketball player
0.0071	0.9565	dc	0.3478	has_property	dead
0.0006	0.8968	grow	0.3478	can	groundnut
0.0015	0.8161	dan	0.3478	has_property	pax
0.9431	0.817	fiberglass	0.3478	be made of	boat
0.007	0.8993	kg	0.3478	has_property	dead
1.0	0.8811	i nazi	0.3478	has_property	gobi
1.0	0.8612	cs	0.3478	be led	country
0.0006	0.8462	czech	0.3478	has_property	supermarketer
0.003	0.9294	cyprus	0.3478	has_property	supermarketer
0.0118	1.0	cssd	0.3478	has_property	supermarketer
0.0008	0.925	cpu	0.3478	has_property	supermarketer
0.0077	0.8054	cpd	0.3478	has_property	supermarketer
0.001	0.8861	cnn	0.3478	has_property	supermarketer
0.0085	0.8115	cited	0.3478	has_property	supermarketer
0.0014	0.854	cpi	0.3478	has_property	supermarketer
0.0016	0.9464	celebrated	0.3478	has_property	supermarketer
0.0027	0.9289	cbs	0.3478	has_property	supermarketer
0.0017	0.9525	nyc	0.3478	has_property	dead
0.0158	0.8104	uncomfortable	0.3478	has_property	cold
0.0007	0.9418	text	0.3478	has_property	pax
0.0025	0.8579	online	0.3478	has_property	pax
0.0017	0.8088	del	0.3478	has_property	pax
0.1616	0.8902	into the bloodstream	0.3478	be absorbed	nutrient
0.3124	0.8783	physical properties	0.3478	affect	imf
0.1265	0.8272	dogs	0.3478	hurt	grape
1.0	0.8333	capital city of south korea	0.3478	has_property	seoul
0.003	0.8623	sam	0.3478	has_property	deification
0.1618	0.9044	important to the industrial revolution	0.3477	be	electricity
0.0096	0.8088	hq	0.3477	has_property	dead
0.0007	0.9435	pd	0.3477	has_property	dead
0.0861	0.9099	south africa	0.3477	work in	tender
1.0	0.8846	dizzy when spinning	0.3477	get	dancer
0.0011	0.8722	small	0.3477	has_property	phone
0.8311	0.8591	heisman	0.3477	feel about	amir
0.0553	0.7485	slogan	0.3477	has_property	trey
0.0036	0.8427	weak	0.3477	has_trait	oink
0.0004	0.8986	zero	0.3477	has_property	vitis
0.003	0.9585	environment	0.3477	help	dung beetle
0.0378	0.8209	nurse	0.3477	can	dog
0.0413	0.8333	hyper	0.3477	has_property	shepherd
0.0591	0.854	backwards	0.3477	go	golf tee
0.0189	0.9039	i d	0.3477	ask for	chemist
0.0018	0.9278	sir	0.3477	has_property	app
0.0262	0.8649	leaves	0.3477	have	cacti
0.0035	0.8499	ll	0.3477	has_property	app
0.0275	0.9415	out netflix	0.3477	be on	moue
0.0013	0.8886	hot	0.3477	has_temperature	alundum
0.0091	0.7462	oozy	0.3477	has_property	alundum
0.0166	0.9601	poverty	0.3477	has_property	alundum
0.0003	0.9583	uk	0.3477	has_property	alundum
0.16	0.7964	hoopla	0.3477	has_property	alundum
0.0004	0.9124	illegal	0.3477	has_property	alundum
0.0035	0.9197	okay	0.3477	has_property	alundum
0.0044	0.8428	offline	0.3477	has_property	alundum
0.0026	0.9011	one	0.3477	has_property	alundum
0.0177	0.8797	wood	0.3477	has_property	alundum
0.0013	0.9309	pc	0.3477	has_property	alundum
0.0038	0.8425	obsolete	0.3477	has_property	alundum
0.0036	0.8508	organized	0.3477	has_trait	alundum
0.0089	0.7905	opened	0.3477	has_trait	alundum
0.107	0.7756	sacs	0.3477	has_property	app
0.0018	0.8366	true	0.3477	has_property	app
0.0162	0.9557	uk	0.3477	work	trust
0.0026	0.8779	lucky	0.3477	has_property	app
0.0935	0.9227	endgame	0.3477	be after	kovno
0.0009	0.8999	watch	0.3477	has_property	messaging
0.0004	0.9124	illegal	0.3477	has_property	messaging
0.0014	0.8821	types	0.3477	has_property	doj
0.0875	0.8255	stated	0.3477	has_property	app
0.001	0.8569	fbi	0.3477	has_property	app
0.0829	0.6862	indigo	0.3477	has_color	app
0.0016	0.8533	ltd	0.3477	has_property	app
0.0083	0.839	unlocked	0.3477	has_property	app
0.1475	0.6767	installer	0.3477	has_property	app
0.0191	0.8604	xs	0.3477	has_property	ipo
0.0019	0.8754	occur	0.3477	has_property	app
0.0012	0.8586	wp	0.3477	has_property	app
0.0044	0.8041	ucla	0.3477	has_property	app
0.0029	0.7196	ubuntu	0.3477	has_property	app
0.0247	0.6569	logged	0.3477	has_property	app
0.0402	0.8626	ty	0.3477	has_property	england
0.0015	0.8669	mvp	0.3477	has_property	app
0.0821	0.8313	drained	0.3477	has_property	app
0.0041	0.7938	wynn	0.3477	has_property	app
0.003	0.8072	boredom	0.3477	has_property	app
0.0079	0.6882	irresistible	0.3477	has_property	app
0.001	0.902	mm	0.3477	has_property	app
0.0017	0.9144	accurate	0.3477	has_property	app
0.0009	1.0	iud	0.3477	has_property	app
0.0241	1.0	tgif	0.3477	has_property	app
0.0062	0.721	lng	0.3477	has_property	app
0.0048	1.0	wqhd	0.3477	has_property	app
0.0097	1.0	wgtn	0.3477	has_property	app
0.1082	1.0	wdfw	0.3477	has_property	app
0.0056	1.0	uqam	0.3477	has_property	app
0.0074	1.0	uefi	0.3477	has_property	app
0.0021	1.0	tquk	0.3477	has_property	app
0.0027	1.0	recd	0.3477	has_property	app
0.0071	1.0	mt4	0.3477	has_property	app
0.1462	1.0	mk7	0.3477	has_property	app
0.018	1.0	lvov	0.3477	has_property	app
0.0087	1.0	lk21	0.3477	has_property	app
0.0019	0.8384	cns	0.3477	has_property	app
0.081	1.0	ddr4	0.3477	has_property	app
0.0003	0.9583	uk	0.3477	has_property	app
0.0015	0.8161	dan	0.3477	has_property	app
0.0025	0.8779	wt	0.3477	has_property	app
0.0016	0.8397	oily	0.3477	has_property	app
0.0011	0.8049	squared	0.3477	has_property	app
1.0	0.783	more dangerous than the quake	0.3477	has_property	aftershock
0.0041	0.8678	diagnosed	0.3477	has_property	retardation
0.003	0.7969	sweating	0.3477	has_property	app
0.0007	0.8575	ignored	0.3477	has_property	app
0.0203	0.8175	epic games	0.3477	has_property	hmo
1.0	0.8585	in the past	0.3477	be preserved	milk
0.0013	0.9012	wrong	0.3477	has_property	arianism
0.1901	0.7168	surrey	0.3477	be in	earthquake
0.0022	0.894	paid	0.3477	has_property	app
0.3021	0.8644	in haiti	0.3477	has_property	unrest
1.0	0.7968	to implant if	0.3477	fail	embryo
0.0004	0.8827	jump	0.3477	can	trazodone
0.5795	0.802	fingers	0.3477	bite off	chimpanzee
1.0	0.7652	happy to work for the queen ant	0.3477	has_property	worker ants
0.0029	0.8544	snapped	0.3477	has_property	app
0.0286	0.9487	live in	0.3477	has_property	new york
1.0	0.8265	heat shields	0.3477	have	spaceship
0.0018	0.9748	used	0.3477	can	venn diagram
0.0041	0.7938	wynn	0.3477	has_property	repp
0.0025	0.8779	wt	0.3477	has_property	repp
0.107	0.7756	sacs	0.3477	has_property	repp
0.107	0.7756	sacs	0.3477	has_property	repp
0.0048	1.0	wqhd	0.3477	has_property	repp
0.0009	1.0	wjec	0.3477	has_property	repp
0.0097	1.0	wgtn	0.3477	has_property	repp
0.0012	0.8586	wp	0.3477	has_property	repp
0.0027	0.8877	weird	0.3477	has_property	repp
0.1082	1.0	wdfw	0.3477	has_property	repp
0.0194	0.8066	watery	0.3477	has_property	repp
0.0003	0.9583	uk	0.3477	has_property	repp
0.0126	0.7668	vic	0.3477	has_property	repp
0.0046	0.7971	gui	0.3477	has_property	repp
0.031	0.8343	utilities	0.3477	has_property	repp
0.0083	0.839	unlocked	0.3477	has_property	repp
0.0008	0.9338	use	0.3477	has_property	repp
0.0044	0.8041	ucla	0.3477	has_property	repp
0.0029	0.7196	ubuntu	0.3477	has_property	repp
0.003	0.7969	sweating	0.3477	has_property	repp
0.0028	0.9338	son	0.3477	has_property	repp
0.92	0.7419	stanford	0.3477	has_property	repp
0.0011	0.8049	squared	0.3477	has_property	repp
0.0013	0.8993	smart	0.3477	has_property	repp
0.0007	0.8889	slow	0.3477	has_movement	repp
0.0018	0.9278	sir	0.3477	has_property	repp
0.0093	0.8834	scared	0.3477	has_property	repp
0.001	0.8569	fbi	0.3477	has_property	repp
0.0013	0.8877	ozone	0.3477	has_property	repp
0.003	0.8072	boredom	0.3477	has_property	repp
0.0016	0.8397	oily	0.3477	has_property	repp
0.0044	0.8428	offline	0.3477	has_property	repp
0.0027	1.0	recd	0.3477	has_property	repp
0.0015	0.8669	mvp	0.3477	has_property	repp
0.0011	0.8656	mnemonic	0.3477	has_property	repp
0.1462	1.0	mk7	0.3477	has_property	repp
0.0234	0.8246	mirrored	0.3477	has_property	repp
0.0106	0.9037	male	0.3477	has_property	repp
0.018	1.0	lvov	0.3477	has_property	repp
0.0026	0.8779	lucky	0.3477	has_property	repp
0.0016	0.8533	ltd	0.3477	has_property	repp
0.0035	0.8499	ll	0.3477	has_property	repp
0.1475	0.6767	installer	0.3477	has_property	repp
0.0062	0.721	lng	0.3477	has_property	repp
0.0087	1.0	lk21	0.3477	has_property	repp
0.0016	0.8715	lgbt	0.3477	has_property	repp
0.0021	0.8786	lbs	0.3477	has_property	repp
0.0649	1.0	izzi	0.3477	has_property	repp
0.0009	0.8999	watch	0.3477	has_property	repp
0.0875	0.8255	stated	0.3477	has_property	repp
0.0009	1.0	iud	0.3477	has_property	repp
0.0079	0.6882	irresistible	0.3477	has_property	repp
0.0018	0.8515	ionic	0.3477	has_property	repp
0.0004	0.9124	illegal	0.3477	has_property	repp
0.0111	0.8915	ink	0.3477	has_property	repp
0.0007	0.8575	ignored	0.3477	has_property	repp
0.0032	0.8176	ideas	0.3477	has_property	repp
0.0026	1.0	iasd	0.3477	has_property	repp
0.0055	0.7577	dire	0.3477	has_property	repp
0.0013	0.842	dwarf	0.3477	has_property	repp
0.0057	0.8602	due	0.3477	has_property	repp
0.0019	0.8384	cns	0.3477	has_property	repp
0.0057	0.8384	dim	0.3477	has_property	repp
0.0052	0.8186	dui	0.3477	has_property	repp
0.081	1.0	ddr4	0.3477	has_property	repp
0.001	0.8877	available	0.3477	has_property	repp
0.0017	0.9144	accurate	0.3477	has_property	repp
0.0004	0.9376	white	0.3477	has_color	repp
0.0045	0.7859	secure	0.3477	has_trait	repp
0.0013	0.8487	odd	0.3477	has_trait	repp
0.0829	0.6862	indigo	0.3477	has_color	repp
0.0015	0.9077	aggressive	0.3477	has_trait	repp
0.0019	0.8674	owned	0.3477	has_property	app
0.1796	0.8598	length	0.3477	vary in	finger
0.0013	0.842	dwarf	0.3477	has_property	app
0.0027	0.8877	weird	0.3477	has_property	app
0.0013	0.9012	wrong	0.3477	has_property	app
0.0012	0.9582	italian	0.3477	be in	diaphragm
0.0026	0.885	funny	0.3477	has_trait	post
0.0004	0.941	different	0.3477	has_property	hutu
0.0047	0.9105	extinct	0.3477	go	mammal
1.0	0.7062	the word	0.3477	steal	the devil
0.0052	0.8186	dui	0.3477	has_property	app
0.0015	0.9077	aggressive	0.3477	has_trait	app
0.0019	0.8759	per	0.3477	has_property	vd
1.0	0.8744	marble	0.3477	be for	chemical formula
0.1219	0.9007	prokaryotes	0.3477	be in	replication
0.0232	0.895	gift	0.3477	has_property	token
0.0048	0.8885	song	0.3477	has_property	closer
0.0075	0.8839	list	0.3477	has_property	story
0.3211	0.7586	people	0.3477	greet	israeli
0.0126	0.7668	vic	0.3477	has_property	app
0.2721	0.8439	graded	0.3477	get	baseball card
0.0057	0.8384	dim	0.3477	has_property	app
0.0001	0.9469	good	0.3477	has_trait	protist
1.0	0.8424	ahead of texas in the bc	0.3477	has_property	florida
1.0	0.7264	audible	0.3477	get paid from	author
0.0046	0.7971	gui	0.3477	has_property	app
0.0013	0.8487	odd	0.3477	has_trait	app
0.2215	0.8712	in transformers	0.3477	be used	alternating current
0.0035	0.8478	episode	0.3477	has_property	ans
0.0015	0.8889	sol	0.3477	has_property	lablab
0.0013	0.9702	nfl	0.3477	has_property	lablab
0.0881	0.9495	thai	0.3477	be in	congratulation
0.2706	0.6963	creole	0.3477	be in	congratulation
0.0013	0.8993	smart	0.3477	has_property	momo
0.0111	0.8915	ink	0.3477	has_property	app
0.0014	0.942	tv	0.3477	has_property	ipo
