subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
air conditioning	has_property	equipment	0.0385	0.8046	0.0006
hair	has_property	flyaway	0.0385	0.566	1.0
zoo	has_property	noun	0.0385	0.8678	0.0011
debt	be settled after	death	0.0385	0.8652	1.0
website	has_property	nyc	0.0385	0.9525	0.0002
breast	grow	having	0.0385	0.8791	1.0
investor	has_property	bjj	0.0385	0.9393	0.0002
walter	be named	walt	0.0385	0.8923	1.0
london	hop off	work	0.0385	0.788	1.0
dog	lick	them self	0.0385	0.7821	1.0
clone	has_property	azaleas	0.0385	0.8261	0.0029
clone	has_property	iqueryable	0.0385	1.0	0.1394
so	has_body_part	brain	0.0385	0.8981	0.0092
exponential	move	average important	0.0385	0.8565	1.0
hair	has_trait	political	0.0385	0.894	0.0054
spark plug	has_property	sooty	0.0385	0.8377	0.0019
organization	use font for	written correspondence	0.0385	0.7073	1.0
carbon steel	use	oxygen	0.0385	0.8794	0.0029
nonvascular plant	usually grow near	water	0.0385	0.9155	1.0
belt	has_property	amazon	0.0385	0.9535	0.0003
so	has_movement	sudden	0.0385	0.937	0.2907
cholelithiasis	has_time	yet	0.0385	0.9117	0.0002
area	have	more rainfall	0.0385	0.9365	0.4816
rock	has_property	gypsum	0.0385	0.8373	0.0145
eve	eat	forbidden fruit	0.0385	0.8691	1.0
socialization	has_movement	ahead	0.0385	0.9362	0.0001
bee	attack	bears	0.0385	0.7158	1.0
church	has_movement	closing	0.0385	0.877	0.0006
geneticism	has_property	bad	0.0385	0.9451	0.0
hing	float better in	salt water	0.0385	0.9385	0.0674
boiling point	be higher than	chlorine	0.0385	0.9166	0.1959
hair	has_property	ijsselstein	0.0385	1.0	0.0072
dell	has_property	cars	0.0385	0.9473	0.0025
paper money	has_property	better than money coins	0.0385	0.8778	0.5407
so	has_property	yin	0.0385	0.8125	0.0045
apprenticeship	has_property	aylesbury	0.0385	1.0	0.0007
romeo	go	to the capulet party	0.0385	0.9625	0.0535
heritage	has_property	important in south africa	0.0385	0.9291	0.0124
so	has_property	qr	0.0385	0.8787	0.002
so	has_property	zzz	0.0385	0.8006	0.0085
so	has_property	hhs	0.0385	0.851	0.0002
so	has_property	resow	0.0385	1.0	0.0007
so	has_property	zmrzlinou	0.0385	1.0	1.0
so	has_property	zjutraj	0.0385	1.0	1.0
so	has_property	qk3	0.0385	1.0	0.0384
election	be banned in	france	0.0385	0.8749	0.0179
king	need	rich	0.0385	0.8646	0.7433
suez canal	be important to	europeans	0.0385	0.8592	0.2158
surfer	need	drink	0.0385	0.9066	0.0148
fruit	stay in	refrigerator	0.0385	0.8808	1.0
christian	visit	iowa britain	0.0385	0.7488	1.0
so	has_property	humid	0.0385	0.8976	0.0028
sportscaster	persistently use	bad grammar	0.0385	0.86	1.0
turquoise	has_property	illustrator	0.0385	0.9535	0.0017
cost-of-living index	has_property	gov	0.0385	0.8443	0.0058
canadian	have	accurate picture on news media of life than developing countries	0.0385	0.7104	1.0
diastolic pressure	has_property	much	0.0385	0.9321	0.0039
stoma	has_property	missing	0.0385	0.8191	0.0003
chronic kidney failure	cause	bad breath	0.0385	0.8932	0.003
icon	have	small mouth symbolism	0.0385	0.7866	1.0
color	has_property	symbolism	0.0385	0.804	0.0036
so	has_movement	zoom	0.0385	0.9149	0.0007
abdominal muscle	be blamed for	back pain	0.0385	0.8215	1.0
scientist	preserve	rain forests	0.0385	0.8884	1.0
halt	has_property	hub	0.0385	0.9285	0.0008
muslim	get paid	work	0.0385	0.9282	1.0
substance	diffuse faster than	than cold temperatures	0.0385	0.8814	1.0
safeguard	has_movement	quick	0.0385	0.858	0.0003
cleft	has_color	yellow	0.0385	0.9462	0.0
animal	seem	confused	0.0385	0.7999	0.5025
pseudo	has_property	we	0.0385	0.9436	0.0002
canadian	point out	everyone	0.0385	0.7539	1.0
thyme	taste	bad	0.0385	0.9299	0.0012
haze	has_color	yellow	0.0385	0.9462	0.0
plumber	use chemicals with	exothermic relations	0.0385	0.6987	1.0
butterfly	lie for	long time	0.0385	0.8671	0.1631
python	know	where import from	0.0385	0.7449	0.4763
china	enter olympics under	different flags	0.0385	0.7689	1.0
scientist	study earthquakes formations	learn about earths layers	0.0385	0.726	1.0
railroad	has_property	jobs	0.0385	0.8863	0.0003
alive	has_property	two	0.0385	0.9539	0.0003
hale	come to	proctors home	0.0385	0.6995	1.0
so	has_property	zoo	0.0385	0.9548	0.0005
cargo ship	be designed in	real world	0.0385	0.905	1.0
galapagos islands	be important to	natural selection	0.0385	0.9267	0.0697
rna	be altered after	transcription	0.0385	0.8284	1.0
fae	has_property	names	0.0385	0.945	0.0009
alga	be	different	0.0385	0.9485	0.0
oxygen	get from	lungs	0.0385	0.9443	0.6918
microsoft	do	currently	0.0385	0.7958	0.4202
kid	study	math	0.0385	0.8388	1.0
squat	has_property	blocked	0.0385	0.9352	0.0007
so	has_property	heavy	0.0385	0.8803	0.001
kid	need	understand	0.0385	0.8809	0.0052
hailstone	has_property	years	0.0385	0.9101	0.0013
hp	affect	catch rate	0.0385	0.8835	0.4317
rifling	has_movement	clockwise	0.0385	0.8666	0.0539
producer	try	minimize	0.0385	0.855	0.2533
beach	has_property	plan	0.0385	0.93	0.0003
sky	has_property	smoky	0.0385	0.8967	0.0044
explosion	have shaped	mushroom	0.0385	0.8469	0.3964
thyroid-stimulating hormone	has_property	inf	0.0385	0.9051	0.0007
transformation	has_movement	ahead	0.0385	0.9362	0.0001
man	lack	ability care about anyone except themselves	0.0385	0.7718	1.0
acetic acid	has_property	work	0.0385	0.934	0.0001
so	has_property	wonderful	0.0385	0.88	0.0108
religion	has_property	dire	0.0385	0.7577	0.0006
wrestling match	has_property	japan	0.0385	0.9616	0.0008
botanical	can	mean	0.0385	0.8744	0.0001
plato	have	closet price clothes	0.0385	0.7933	1.0
stop	be in	shop on strike	0.0385	0.8609	1.0
bulk	be back in	power rangers	0.0385	0.8108	1.0
pirate	call	parrots polly	0.0385	0.7338	1.0
parenthesis	has_property	pronounce	0.0385	0.8872	0.0002
nori	has_property	chewy	0.0385	0.874	0.0037
epileptic	has_property	aphasia	0.0385	0.8193	0.2069
epileptic	has_property	association	0.0385	0.7874	0.0031
resistor	be produced with	certain number of preferred values to particular tolerance	0.0385	0.7717	1.0
worshipper	has_movement	ahead	0.0385	0.9362	0.0001
australia	choose	president	0.0385	0.8687	0.2072
dog	go off	die	0.0385	0.9342	0.0532
navy	has_property	but	0.0385	0.9327	0.0001
aquatic	has_property	azithromycin	0.0385	0.702	0.0076
aquatic	has_property	idle	0.0385	0.8291	0.0001
aquatic	has_property	iyengar	0.0385	1.0	0.0028
aquatic	has_property	iguana	0.0385	0.7809	0.0036
man	think	it's natural to watch porn	0.0385	0.8176	1.0
printer	has_property	buy	0.0385	0.9033	0.0018
guam	belong to	united states	0.0385	0.8718	0.2595
tax revenue	has_property	quebec	0.0385	0.919	0.0019
