subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
void	has_color	azure	0.0416	0.9454	0.0005
void	has_property	aegis	0.0416	0.7345	0.0111
void	has_property	scroll-bar-mode	0.0416	1.0	1.0
void	has_property	mtg	0.0416	0.8795	0.0002
void	has_property	mri	0.0416	0.9024	0.0002
void	has_property	mql4	0.0416	1.0	0.0004
void	has_property	mp3	0.0416	0.8867	0.0001
void	has_property	km	0.0416	0.9559	0.0005
void	has_property	idle	0.0416	0.8291	0.0001
void	has_property	ike	0.0416	0.7175	0.0031
void	has_property	svenska	0.0416	1.0	0.0003
void	has_property	ultimo	0.0416	0.825	0.0069
void	has_property	ubuntu	0.0416	0.9615	0.0004
void	has_property	ufvjm	0.0416	1.0	1.0
helen	be	abducted	0.0416	0.8863	0.7042
chemical energy	has_property	in glucose similar to a savings account	0.0416	0.8281	1.0
tesla coil	has_temperature	warmer	0.0416	0.9244	0.0071
tesla coil	has_property	weapon	0.0416	0.9468	0.0226
hanukkah	has_property	important to jewish believers	0.0416	0.8857	0.6888
fap	has_property	additive	0.0416	0.7951	0.0168
scrub	has_property	ads	0.0416	0.957	0.0002
swordfish	has_property	dark	0.0416	0.9412	0.0003
flatworm	has_trait	good	0.0416	0.9469	0.0
hestia	have	ribbon	0.0416	0.8907	0.04
instrument	has_trait	good	0.0416	0.9469	0.0
coffee	has_property	etc	0.0416	0.8684	0.0003
black hole	has_property	mystery	0.0416	0.9025	0.01
gentamicin	has_property	irregular	0.0416	0.8632	0.0003
gentamicin	has_property	iqoraal	0.0416	1.0	0.019
gentamicin	has_property	iodine	0.0416	0.916	0.0007
gentamicin	has_property	illegal	0.0416	0.9502	0.0
gentamicin	has_property	herb	0.0416	0.8522	0.0006
gentamicin	has_property	ignored	0.0416	0.9374	0.0001
gentamicin	has_effect	itchy	0.0416	0.9086	0.0001
shopkeeper	keep baskets in front of	large plane	0.0416	0.691	1.0
infrared	has_property	used for	0.0416	0.9367	0.0005
soda	expand	in the freezer	0.0416	0.861	0.1807
multiculturalism	has_property	cd	0.0416	0.9474	0.0001
tv	has_property	buzzing	0.0416	0.8138	0.0409
planation	has_property	mentality	0.0416	0.8209	0.1562
beard	has_property	itching	0.0416	0.8165	0.0004
passover	can	work	0.0416	0.9421	0.0
protest	has_property	against padmavati	0.0416	0.8979	0.2845
sand	be hot in	day	0.0416	0.9401	0.0198
starch	has_property	heterogeneous	0.0416	0.8567	0.0153
human brain	learn	new things	0.0416	0.8897	0.1721
fermentation alcohol	has_property	natural	0.0416	0.8818	0.0004
rain	can	descend	0.0416	0.7773	0.0356
cattle	has_property	ice	0.0416	0.952	0.0002
anemia	increased	ear	0.0416	0.7217	0.0501
segregate	has_property	ltd	0.0416	0.8797	0.0002
snowboarder	be called	knuckle daggers	0.0416	0.7717	1.0
countenance	can	mean	0.0416	0.8744	0.0001
outlook	has_property	password	0.0416	0.9313	0.0431
tilt	be good for	pregnancy	0.0416	0.9489	0.0051
make	has_property	laughing	0.0416	0.823	0.023
daytona beach	has_property	to live	0.0416	0.9487	0.0031
fuse	be	similar	0.0416	0.9349	0.0001
ivy	has_property	seat	0.0416	0.8832	0.0298
irish whiskey	be	made	0.0416	0.9403	0.0
absorption	happen in	small intestine	0.0416	0.9373	0.1885
petiole	has_property	different from medical	0.0416	0.896	0.6848
paved surface	has_property	made	0.0416	0.9403	0.0
plant	maintain	structure	0.0416	0.7875	0.252
soiree	can	mean	0.0416	0.8744	0.0001
density	be used	to help tell what something is	0.0416	0.8517	1.0
plasterboard	can	crack	0.0416	0.8307	0.0007
bottle-nosed dolphin	has_property	native	0.0416	0.8346	0.0006
lysine	be added to	ibuprofen	0.0416	0.9206	1.0
federalism	be practiced	in india in points	0.0416	0.9018	1.0
bagel	has_property	fattening	0.0416	0.8257	0.0013
capability	has_property	win	0.0416	0.8801	0.0008
kitchen sink	have	cold water	0.0416	0.9141	1.0
concern	has_property	for others	0.0416	0.9277	0.3879
upholstery	can	mean	0.0416	0.8744	0.0001
fertilized egg	stop	dividing	0.0416	0.8523	0.0161
fava bean	has_property	gnocchi	0.0416	0.8281	0.0009
fava bean	has_property	gk	0.0416	0.9589	0.0012
confirmation	take place within	mass	0.0416	0.7805	1.0
northern	has_property	plain fertile	0.0416	0.8571	1.0
space	has_property	black reedit	0.0416	0.9329	0.1506
pangaea	transformed	into the present day locations of continents	0.0416	0.7386	1.0
man	be better than	girls	0.0416	0.9306	0.0225
import	has_property	scan	0.0416	0.9033	0.0079
reincarnation	be shown in	little buddha	0.0416	0.819	1.0
human	gain	access to aquifers	0.0416	0.7205	1.0
chewing gum	be illegal in	singapore	0.0416	0.868	0.0143
top	has_property	dvd	0.0416	0.9348	0.0001
poop	has_color	pink	0.0416	0.9433	0.0002
undesirable	has_property	true	0.0416	0.9376	0.0002
hair	has_effect	dangerous	0.0416	0.9489	0.0
inflation	has_place	away	0.0416	0.938	0.0001
clothes	has_property	worth money	0.0416	0.9179	0.0124
shylock	lend antonio	money	0.0416	0.9114	1.0
cost-of-living allowance	has_property	pc	0.0416	0.9511	0.0002
blistering	has_trait	quiet	0.0416	0.8833	0.0001
barium carbonate	has_property	more thermally stable	0.0416	0.798	1.0
cat	can breathe through	mouth	0.0416	0.9535	0.1106
ps2 games	stop	working	0.0416	0.9377	0.0004
universe	go on	forever	0.0416	0.9372	0.0095
wold	be	war two	0.0416	0.8923	1.0
reputation	has_property	nor	0.0416	0.815	0.0013
cactus	be adapted	survive	0.0416	0.9028	0.0352
middle eastern	has_property	time	0.0416	0.931	0.0005
geologist	know	age of rock layers	0.0416	0.808	1.0
photo	be important part of	social media	0.0416	0.8722	1.0
eruption	has_property	accurate	0.0416	0.9151	0.0002
eruption	has_property	aftermath	0.0416	0.7657	0.0252
jelly	can	dissolve	0.0416	0.8498	0.0024
canna	leave	curl	0.0416	0.8144	0.0111
blessing	has_property	ideas	0.0416	0.8453	0.0004
yoctogramme	has_property	to grams	0.0416	0.8479	0.6395
nesokia	ring	tones	0.0416	0.7711	1.0
bob	has_property	the builder made	0.0416	0.854	0.4844
debriefing	can	mean	0.0416	0.8744	0.0001
stance	has_property	work	0.0416	0.934	0.0002
friction	has_property	proportional to normal force	0.0416	0.8285	0.6155
amazon	charge for	sky	0.0416	0.7479	1.0
erythromycin	has_property	visible	0.0416	0.9082	0.0002
current	has_property	convection	0.0416	0.8745	0.2787
benadryl	be good for	vertigo	0.0416	0.8541	0.165
production possibility	has_property	frontier	0.0416	0.8792	0.0421
semicolon	has_property	we	0.0416	0.9436	0.0002
hershey	make	money	0.0416	0.945	0.0001
stool	has_property	seedy	0.0416	0.8166	0.0268
hindooism	has_movement	closing	0.0416	0.8752	0.0006
wetland	be valuable to	humans	0.0416	0.8944	0.1069
bunny	has_property	pig	0.0416	0.916	0.0002
mrna	go through	middle of ribosome	0.0416	0.85	1.0
dichromat	has_property	ion	0.0416	0.8789	0.0017
matthew	compare	jesus	0.0416	0.8144	1.0
russian letters	has_property	pronounced	0.0416	0.9072	0.0002
frog	has_property	identification	0.0416	0.8713	0.0009
counselling	has_movement	ahead	0.0416	0.9362	0.0001
lawn	has_property	ave	0.0416	0.7591	0.0012
korea	has_property	forgotten war	0.0416	0.9386	0.1763
sally	has_property	street	0.0416	0.9119	0.0029
animal	have instead of	few large cells	0.0416	0.8688	1.0
shaman	be	currently	0.0416	0.8595	0.0227
radioactivity	has_property	itching	0.0416	0.8165	0.0004
whole number	be with	exponents	0.0416	0.8348	0.0613
mips	differ from	ghz	0.0416	0.8496	1.0
populism	be on	rise in europe	0.0416	0.8829	0.21
gob	has_property	legal	0.0416	0.9417	0.0001
quantum mechanics	related	to relativity	0.0416	0.8627	1.0
blimp	has_property	zoomed in	0.0416	0.9485	0.0012
geology	affect	rate of coastal erosion	0.0416	0.9194	1.0
surfing	has_property	movie	0.0416	0.9408	0.0004
oxidation	be in	living cells	0.0416	0.9171	1.0
ocelot	has_time	now	0.0416	0.9371	0.0001
vac	banned	players	0.0416	0.7671	1.0
scone	has_property	difference	0.0416	0.8734	0.0012
systemic lupus erythematosus	has_property	tea	0.0416	0.9543	0.0005
titan	has_property	moon	0.0416	0.9704	0.0031
treaty	has_property	created	0.0416	0.9362	0.0001
queen bee	produce	eggs	0.0416	0.9257	0.0051
piggy	be revealed	as most closely tied to the world of adults	0.0416	0.7496	1.0
latten	has_property	terms	0.0416	0.8443	0.0104
machine gun	has_manner	quickly	0.0416	0.8355	0.0006
fisher cat	make	sound	0.0416	0.8947	0.0004
subway	can	screech	0.0416	0.797	0.0085
vampire	go	blew	0.0416	0.8225	1.0
sim	has_property	racing	0.0416	0.8504	0.0083
isotope	can be used	in boron	0.0416	0.8158	1.0
baby	have	softer bones	0.0416	0.8337	1.0
brooke	get	pregnant	0.0416	0.9194	0.0007
wasp	has_property	identifying	0.0416	0.851	0.0059
wasp	has_property	missing	0.0416	0.8125	0.0003
mooring tower	has_property	made	0.0416	0.9403	0.0
dianthus	leave	turn white	0.0416	0.9016	0.1231
letter	help	to communicate	0.0416	0.9046	1.0
mathematics	describe	universe	0.0416	0.8893	0.0324
gastritis	has_property	pain	0.0416	0.9484	0.0009
plant	need room	grow	0.0416	0.8663	0.5186
dna	be used	to classify organisms	0.0416	0.8926	0.3038
horse	live	things	0.0416	0.8443	0.0314
celeriac	can	bolt	0.0416	0.8097	0.0168
social	has_property	capital	0.0416	0.9633	0.0025
multiplication	be taught	now	0.0416	0.938	0.1652
memoir	differ from	personal essay	0.0416	0.8457	1.0
animal	get	rabies in the first place	0.0416	0.8289	0.0692
birth control	start on	sunday	0.0416	0.9097	0.0172
disguise	has_property	plugin	0.0416	0.8686	0.0265
disguise	has_property	wow	0.0416	0.9396	0.0009
caliper	be important for	machining	0.0416	0.7986	0.3159
caliper	be important for	layout	0.0416	0.819	1.0
pressure	be high in	eyes	0.0416	0.8901	0.3718
fuzz	has_property	ignite	0.0416	0.8278	0.0005
communicator	has_property	ebay	0.0416	0.954	0.0002
