local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
0.0163	0.9273	beneficial	0.1617	can be	nsaid
0.002	0.829	matter	0.1617	can	campaign
1.0	0.7728	excel	0.1617	highlighted cells in	count
0.0354	0.8798	mass	0.1617	can	probe
0.0185	0.8253	justify	0.1617	can	chordate
0.9209	0.8066	jazz legend	0.1617	be considered	louis armstrong
0.0339	0.7251	hie	0.1617	can	saphar
0.0144	0.8807	price	0.1617	go up in	banana
0.0004	0.797	met	0.1617	can	motorist
0.2377	0.6753	cove	0.1617	has_property	prussia
1.0	0.7506	shopping	0.1617	love much	girl
0.0027	0.8232	crack	0.1617	can	rotor
0.0482	0.8153	octet rule	0.1617	follow	boron
1.0	0.6711	faith in action	0.1617	demonstrate	food bank
0.0002	0.8827	jump	0.1617	can	transpiration
0.002	0.829	matter	0.1617	can	voting
1.0	0.9271	to kill daryl	0.1617	want	mickey
1.0	0.8496	junk food	0.1617	cover	food stamp
0.0021	0.9185	canceled	0.1617	has_property	south park
1.0	0.7483	one type of leukocyte	0.1617	affect	hiv
0.6128	0.8632	famous for food	0.1617	has_property	france
0.0001	0.9469	good	0.1617	has_trait	knockoff
0.0005	0.9116	do	0.1617	has_property	filler
0.0155	0.8573	hunting	0.1617	has_property	animal
0.0591	0.9228	plants survive	0.1617	help	flower
0.0021	0.8546	energy	0.1617	get	dam
0.4873	0.8618	2 solutions	0.1617	have	equation
0.067	0.8484	varnish	0.1617	can	flatworm
0.2265	0.9678	malaysia	0.1617	has_property	malaya
0.0003	0.908	slow	0.1617	has_movement	joint
0.0052	0.9176	red	0.1617	wear	virgin mary
0.004	0.9448	nervous system	0.1617	affect	alzheimer's
0.2189	0.8184	weathering	0.1617	related to	dust storm
0.0016	0.8844	cal	0.1617	has_property	spray can
0.0003	0.9515	french	0.1617	be in	dog collar
0.8546	0.7484	trivalent	0.1617	has_property	lanthanide
0.034	0.912	last name	0.1617	have	penny
0.0024	0.8935	st	0.1617	has_property	platelet
0.9431	0.775	price of bbc	0.1617	affect	tether
1.0	0.8523	to the salem witch trials	0.1617	relate	mccarthyism
0.0002	0.9412	red	0.1617	has_color	pesto
0.0	0.8642	work	0.1617	can	cereus
0.0001	0.9428	bad	0.1617	has_property	ulcer
0.1371	0.9	earth	0.1617	go to	thor
1.0	0.8906	with mouths open	0.1617	lay	alligator
1.0	0.8021	culturally sensitive	0.1617	can be	united states managers
1.0	0.9303	france called	0.1617	be in	brittany
0.1281	0.921	orange	0.1617	be better than	purple
0.2266	0.8564	washing	0.1616	get hard	towel
0.0462	0.8366	homeless	0.1616	become	schizophrenic
0.534	0.8855	bad in cars	0.1616	go	alternator
0.1179	0.9144	sharks	0.1616	has_property	dolphin
1.0	0.7768	the white walkers	0.1616	survive	sam
1.0	0.9231	different from all the other states	0.1616	be	rhode island
0.0009	0.8453	sum	0.1616	can	knob
0.047	0.7811	squared	0.1616	can	knob
0.0064	0.8312	scratch	0.1616	can	knob
0.0036	0.9042	ban	0.1616	can	knob
0.0008	0.9054	snow	0.1616	can	disaster
1.0	0.8176	edge of bowl	0.1616	drink from	cat
0.4055	0.887	different shades of blue	0.1616	have	ocean
1.0	0.7234	firetrucks are red	0.1616	say	siri
0.0027	0.9072	pregnant	0.1616	get	kangaroo
0.1116	0.8793	raise	0.1616	want	teacher
0.0922	0.891	highways	0.1616	be on	traffic jam
0.2749	0.7671	parade	0.1616	has_property	dah
0.0005	0.9272	better	0.1616	has_manner	aisle
1.0	0.7246	chalked	0.1616	get	tire
0.0008	0.8528	man	0.1616	can	slap
0.0005	0.8726	move	0.1616	can	tapir
0.0032	0.9185	refrigerated	0.1616	has_property	lemon meringue pie
0.0006	0.9429	get	0.1616	can	miner
0.0004	0.806	put	0.1616	can	crying
0.0455	0.8512	off	0.1616	come	henna
0.7568	0.9511	grey 's anatomy	0.1616	be in	jackson
0.1396	0.8958	in the bill of rights	0.1616	has_property	freedom of speech
1.0	0.809	the telephone effect	0.1616	be	doe
0.0003	0.9451	green	0.1616	has_color	june bug
0.0002	0.9111	vegan	0.1616	has_diet	bedroom
0.0089	0.9485	important to living things	0.1616	has_property	meiosis
0.3486	0.9067	soda	0.1616	be used in	carbon dioxide
0.7562	0.7698	transgenic	0.1616	has_property	animal
0.0256	0.922	to be protected	0.1616	need	puffin
0.1819	0.9245	death	0.1616	fight to	animal
0.0018	0.9114	money	0.1616	earn	hospital
0.0615	0.781	each other	0.1616	influence	different cultures
1.0	0.8631	pole on front	0.1616	have	helicopter
0.1029	0.731	septic	0.1616	become	flu
0.0001	0.9335	yellow	0.1616	has_color	golf course
0.2499	0.846	plastic	0.1616	come in	cauliflower
0.0001	0.9428	bad	0.1616	has_property	trampoline
0.0002	0.8951	are	0.1616	can	rollercoaster
0.0009	0.8839	evolve	0.1616	can	drag
0.0002	0.9384	be	0.1616	can	lupin
0.1278	0.8951	peace sign	0.1616	do	motorcyclist
1.0	0.9796	endangered species	0.1616	be in	snow leopard
1.0	0.7765	chopped	0.1616	get	tire
0.6062	0.8341	rotate	0.1616	continue	blade
0.004	0.8638	yell	0.1616	can	eadwig
0.0002	0.8827	jump	0.1616	can	eadwig
0.3535	0.8724	bacteria	0.1616	need	cow
0.0049	0.9016	green	0.1616	wear	queen
0.0162	0.882	important in drama	0.1616	has_property	cooperation
1.0	0.7066	solidarity	0.1616	express	consumer
0.0004	0.8745	gas	0.1616	can	punk
0.0011	0.8897	successful	0.1616	has_property	ad
0.0129	0.8599	face	0.1616	appear on	blue veins
1.0	0.8692	good instrument	0.1616	has_property	violin
0.0297	0.9139	minnesota	0.1616	be in	bowl
1.0	0.8684	murderous	0.1616	be described as	euthanasia
0.001	0.9571	german	0.1616	be in	hairbrush
0.0372	0.9088	weakness	0.1616	has_property	perfectionist
0.397	0.8764	to split	0.1616	want	california
0.247	0.9167	gods	0.1616	worship	viking
0.4371	0.8388	dissolved	0.1616	get	blood clot
0.0552	0.8737	people	0.1616	hurt	football
0.0031	0.891	walk	0.1616	can	dingo
0.0065	0.9436	industry	0.1616	be used in	saccharomyces cerevisiae
1.0	0.752	the future of firefighting	0.1616	has_property	ai
1.0	0.815	water bowl	0.1616	put toys in	cat
0.0417	0.8376	in tunnels	0.1616	has_property	bend
0.0005	0.8831	up	0.1616	can	cuddling
0.1375	0.8107	daisy	0.1616	has_property	bedding plant
1.0	0.8167	latin	0.1616	be spelled	latino
0.0001	0.9561	spanish	0.1616	be in	puma
1.0	0.8203	gut bacteria	0.1616	have	human
0.0009	0.8376	type	0.1616	can	comment
0.1427	0.9501	in zombie	0.1616	has_property	major
0.0006	0.9079	know	0.1616	can	absenteeism
1.0	0.7771	to educate the public	0.1616	try	interest group
0.0678	0.7993	kc	0.1616	affect	pressure
0.0679	0.8851	war frame	0.1616	work in	mod
1.0	0.6866	soft landing for coal	0.1616	can pull off	china
1.0	0.7938	valence of 2	0.1616	have	oxygen
0.9609	0.8391	corset	0.1616	wear	girl
0.0101	0.8989	important essay	0.1616	has_property	rainforest
1.0	0.7116	types of writers	0.1616	distinguish between	freud
0.077	0.8965	long to dry	0.1616	take	oil painting
0.0106	0.9575	in november	0.1616	has_property	world cup
1.0	0.801	the health system	0.1616	benefit	epidemiology
1.0	0.7644	attention	0.1616	demand	cat
0.0112	0.7687	times	0.1616	can	waffle
1.0	0.6369	the risk of financial items	0.1616	judge	investor
0.0003	0.9045	effective	0.1616	has_property	saccharide
0.039	0.895	important in yoga	0.1616	has_property	posture
0.0003	0.8633	mean	0.1616	can	soot
0.312	0.8414	bones	0.1616	move	tendon
0.8432	0.9262	shavuot	0.1616	be associated with	cottage cheese
0.005	0.8784	young	0.1616	care for	killer whale
1.0	0.7792	the strain to prepare for	0.1616	determine	researcher
0.0004	0.9146	not	0.1616	has_property	shoulder
0.0947	0.8924	genetic variation	0.1616	affect	inbreeding
0.042	0.807	similar	0.1616	look	organism
0.0	0.8642	work	0.1616	can	halogen
0.322	0.8938	teachers	0.1616	be more important than	doctor
1.0	0.7941	oz lotto	0.1616	work in	system
0.0029	0.8412	breed	0.1616	can	quail
1.0	0.6886	broken leases	0.1616	check for	apartment
0.003	0.9359	mine craft	0.1616	be in	spike
0.0022	0.909	yes	0.1616	has_property	intangible asset
1.0	0.823	game cards work	0.1616	has_property	nintendo
0.0	0.8642	work	0.1616	can	byte
0.0062	0.8106	young	0.1616	feed	herring gull
0.0341	0.9211	radiation	0.1616	have	jupiter
0.0007	0.9006	are	0.1616	has_property	stone
1.0	0.6662	prefix trip	0.1616	have	trillion
0.1122	0.8412	examples of clones	0.1616	has_property	banana
1.0	0.8174	to the silent treatment	0.1616	respond	guy
0.0898	0.7221	sentient	0.1616	has_property	animal
1.0	0.885	4 g	0.1616	say	phone
0.0026	0.9375	come	0.1616	can	nit
1.0	0.7667	economies	0.1616	benefit from	big business
0.0313	0.8882	pus	0.1616	have	sore
0.0002	0.8569	quit	0.1616	can	destroyer
1.0	0.6892	chitin	0.1616	use	animal
0.8088	0.7867	file system	0.1616	have	io
0.0833	0.964	in cpu	0.1616	has_property	placement
0.2633	0.7946	current	0.1616	limit	resistor
1.0	0.7439	prevent defense	0.1616	play	team
1.0	0.7533	bone	0.1616	fused to	tooth
0.6631	0.8418	good for chest	0.1616	has_property	dip
0.0003	0.9342	popular	0.1616	has_trait	go
0.016	0.9852	dark	0.1616	can see in	tiger
0.8315	0.8438	ribs	0.1616	be attached to	scapula
0.0038	0.9102	tested	0.1616	has_property	metal
0.6363	0.8644	ready for winter	0.1616	get	chipmunk
0.3499	0.823	mouse	0.1616	be different from	trackball
1.0	0.7627	when finny dies	0.1616	cry	gene
0.0033	0.8922	great	0.1616	has_property	nurse
1.0	0.8026	alberta	0.1616	compare with	japan
0.0002	0.8979	use	0.1616	can	effect
1.0	0.9035	college	0.1616	be good for	mac
1.0	0.8513	arthritis	0.1616	can cure	stem cell
1.0	0.8581	outbox	0.1616	send from	outlook
0.0	0.8642	work	0.1616	can	antifungal
0.0067	0.8656	japan	0.1616	can	stadium
0.3096	0.9098	respiratory system	0.1616	help	inhaler
0.0505	0.7672	noticed	0.1616	get	producer
1.0	0.8481	windows above them	0.1616	have	door
0.02	0.9441	orlando	0.1616	be in	bowl
0.0002	0.8827	jump	0.1616	can	bogger
0.1754	0.8683	toner	0.1616	need	skin
0.0011	0.8957	jobs	0.1616	can	buttercup
0.0375	0.8895	into water	0.1616	turn	salt
0.0006	0.8691	zero	0.1616	can	paramecia
0.0002	0.8569	quit	0.1616	can	paramecia
0.0002	0.8827	jump	0.1616	can	paramecia
0.0803	0.8583	up	0.1616	fall	elevator
0.0255	0.9069	popular in mexico	0.1616	has_property	tamarind
1.0	0.769	the capital of michigan	0.1616	be no longer	detroit
0.0098	0.8206	energy	0.1616	make	electron
0.0325	0.8578	super	0.1616	has_property	kale
1.0	0.8864	ants	0.1616	be different from	termite
1.0	0.7529	to excrete waste products	0.1616	has_property	necessary
0.0004	0.9372	down	0.1616	has_place	birth rate
0.0322	0.9435	spring	0.1616	be in	passover
0.0189	0.7632	irritation	0.1616	has_property	flea bite
1.0	0.7827	for the country nepal	0.1616	be generated	energy
0.0279	0.8274	hot	0.1616	run	computer
1.0	0.7583	shady environments	0.1616	grow in	moss
1.0	0.685	patient satisfaction	0.1616	measure	hospital
1.0	0.8416	in market research	0.1616	can be reduced	bias
0.0183	0.7994	unable	0.1616	be	columbus
0.5718	0.8211	power of attorney	0.1616	recognize	social security
0.0667	0.919	in animal cells	0.1616	differ	meiosis
0.0011	0.8957	jobs	0.1616	can	bugologist
1.0	0.7061	buffy clark	0.1616	keep saying	dec
1.0	0.8543	vaccinations	0.1616	be needed for	booster
0.0006	0.9726	body	0.1616	affect	cardiovascular disease
0.0134	0.8538	sap	0.1616	can	colour
0.0388	0.8159	fish	0.1616	taste like	chip
0.0019	0.805	portuguese	0.1616	be in	pathway
0.0004	0.806	put	0.1616	can	export
0.3278	0.8792	matter	0.1616	be considered	energy
0.0011	0.8406	jobs	0.1616	has_property	special effect
0.0029	0.789	quest	0.1616	can	tuber
1.0	0.8426	wine safe to drink	0.1616	make	distillation
0.0002	0.9383	money	0.1616	make	iceland
0.0474	0.7988	longer	0.1616	get	iron
0.0006	0.8691	zero	0.1616	can	dweller
1.0	0.7047	at the slave action	0.1616	be inspected	slave
0.5251	0.8971	bf4	0.1616	work in	perk
0.1426	0.8876	elizabeth	0.1616	be related	james i
0.8436	0.7458	sounds	0.1616	repeat	parrot
1.0	0.8165	high speed	0.1616	start at	fan
0.5265	0.894	head	0.1616	be on	scarf
0.0295	0.9206	important to evolution	0.1616	has_property	biodiversity
0.0277	0.8301	thick	0.1616	get	smoothy
0.0584	0.942	garlic	0.1616	can eat	monk
0.002	0.8599	yellow	0.1616	go	toe
1.0	0.8354	difficult to fly	0.1616	has_property	helicopter
0.7456	0.7453	graveyards	0.1616	hang around	crow
0.0078	0.9599	england	0.1616	has_property	wimbledon
0.0002	0.8827	jump	0.1616	can	swordtail
0.0065	0.8783	bowl	0.1616	has_property	raw vegetable
1.0	0.7051	during a reaction	0.1616	break	chemical bond
0.014	0.8492	tuned	0.1616	has_property	church bell
1.0	0.8591	in cells	0.1616	pass in	substance
0.0042	0.8651	switching	0.1616	has_body_part	hybrid
0.0075	0.846	killed	0.1616	can	listeria
0.0556	0.9078	at the same rate	0.1616	fall	body
1.0	0.8641	arms	0.1616	can control	baby
0.3998	0.7837	american	0.1616	work on	group
0.0008	0.8528	man	0.1616	can	cpu
1.0	0.8095	kennel cough	0.1616	can contract	dog
1.0	0.7013	either pepsi	0.1616	carry	restaurant
0.3129	0.8571	overtime	0.1616	work	employee
0.1657	0.8576	palm oil	0.1616	contain	product
0.0029	0.9004	diarrhea	0.1616	give	monster
1.0	0.8432	extinct in the next 20 years	0.1616	has_property	island
0.0045	0.9493	latin	0.1616	be in	fate
0.0004	0.8372	twitch	0.1616	can	epinephrine
0.0004	0.8959	hurt	0.1616	can	epinephrine
0.3674	0.9008	fail	0.1616	want	everyone
0.3594	0.794	collective rights	0.1616	have	first nations
0.0476	0.8741	each other	0.1616	recognize	soul
0.1985	0.9027	radio waves	0.1616	be different from	sound wave
0.0051	0.8944	names	0.1616	get	cyclone
0.2007	0.7911	itself	0.1616	clean	oven
0.3621	0.8151	antagonist	0.1616	has_property	caffeine
0.4736	0.7932	hydra	0.1616	take place in	budding
0.1114	0.9129	alone	0.1616	can be	libra
0.267	0.8947	as a pollutant	0.1616	be considered	carbon monoxide
0.0059	0.8071	made	0.1616	get	salt
0.1302	0.8776	hooks	0.1616	has_property	bell
0.0488	0.8847	exist	0.1616	has_property	sea gull
0.0011	0.8957	jobs	0.1616	can	leaflet
0.0984	0.8623	rid of headaches	0.1616	get	nap
0.312	0.8572	health problem	0.1616	has_property	obesity
0.0004	0.9146	not	0.1616	has_property	contrition
1.0	0.8197	to make shoes in a pair	0.1616	refuse	leprechaun
0.0003	0.8692	was	0.1616	can	skateboard
1.0	0.8758	material use making	0.1616	be better as	bronze
0.0042	0.8748	say	0.1616	can	fox
0.4186	0.8188	grace	0.1616	have	jack
0.0159	0.9138	weed	0.1616	has_property	chickweed
0.193	0.8503	free time	0.1616	spend	youth
0.0036	0.9188	married	0.1616	get	pope
0.0018	0.8294	eye	0.1616	can	acetone
0.0143	0.9173	tights	0.1616	wear	baseball player
0.0016	0.846	escape	0.1616	can	refugee
0.0011	0.8957	jobs	0.1616	can	reservist
0.0221	0.9347	bad for health	0.1616	has_property	egg yolk
0.0993	0.8926	most popular	0.1616	has_property	dell computers
1.0	0.7017	nation building	0.1616	can belittle	sport
0.0006	0.9079	know	0.1616	can	sequin
0.0037	0.8949	data	0.1616	has_property	graph
1.0	0.7688	treatment for ant stings	0.1616	be used as	sodium hydrogen carbonate
1.0	0.8835	seventh day	0.1616	has_property	saturday
0.0593	0.832	position	0.1616	has_property	ordinal
0.1077	0.8271	to australia	0.1616	migrate	people
0.0006	0.8691	zero	0.1616	can	dorm
1.0	0.9006	uk businesses	0.1616	affect	exchange rate
0.0016	0.9277		0.1616	can	position
1.0	0.8158	the outcome of presidential elections	0.1616	shape	campaign
0.0005	0.9272	better	0.1616	has_manner	meal
0.0479	0.8335	zero points	0.1616	has_property	black bean
0.737	0.8576	no government	0.1616	have	somalia
0.0004	0.9447	pa	0.1616	has_property	california
1.0	0.876	feet math worksheet answers	0.1616	be like	story
1.0	0.7699	sourdough bread dough	0.1616	knead	baker
0.0006	0.9079	know	0.1616	can	baton
0.0018	0.8511	sneeze	0.1616	can	boxer
0.0201	0.8527	cuddle	0.1616	can	boxer
1.0	0.8108	key west	0.1616	walk around	chicken
1.0	0.9107	food	0.1616	taste better after	cigarette
1.0	0.7799	sine wave	0.1616	travel in	satellite
0.0311	0.8431	pub	0.1616	work in	squad
0.002	0.8971	km	0.1616	has_property	gaming
0.1277	0.7666	police	0.1616	work with	private investigator
0.0002	0.8569	quit	0.1616	can	rockfish
1.0	0.6584	to an early-maturing girl	0.1616	typically respond	parent
1.0	0.862	violence	0.1615	encourage	video game
0.0445	0.8938	destiny 2	0.1615	work in	sword
0.0017	0.8675	sound	0.1615	can	elk
1.0	0.8467	love soundtrack songs	0.1615	fall in	fool
0.5952	0.9268	white house	0.1615	be on	red ribbon
0.0006	0.8691	zero	0.1615	can	felloes
1.0	0.8775	fungus gnats	0.1615	get	plant
0.0216	0.884	waste	0.1615	eliminate	bone cell
0.3313	0.7579	tupperware	0.1615	has_property	legume
0.0018	1.0	tlumaczenie	0.1615	has_property	legume
0.0012	0.954	cm	0.1615	has_property	legume
0.0047	0.8111	ignores	0.1615	has_property	legume
0.0012	0.8978	bbq	0.1615	has_property	legume
0.1301	1.0	ajustavel	0.1615	has_property	legume
0.4068	0.7978	two	0.1615	mean	brace
0.0009	0.8774	expire	0.1615	can	dimash
0.0	0.8642	work	0.1615	can	mule driver
0.0024	0.8705	from	0.1615	come	maraca
0.5349	0.8636	famous for pizza	0.1615	has_property	naples
0.0024	0.938	act	0.1615	has_property	red light
0.0813	0.8798	international business	0.1615	affect	trade barrier
0.0106	0.9	black	0.1615	can	vampire bat
0.0014	0.8904	mate	0.1615	can	tapir
0.0007	0.8721	smoke	0.1615	can	photographer
0.0261	0.8039	emotion	0.1615	show	line
1.0	0.7161	hedges	0.1615	cut	farmer
0.0008	0.8674	del	0.1615	has_property	area code
0.0015	0.8802	warm	0.1615	has_temperature	polyester
0.0136	0.8941	tips	0.1615	has_property	kitchen cabinet
0.0001	0.9583	uk	0.1615	has_property	tenpin bowling
0.0009	0.8967	kill	0.1615	can	tweezer
0.4367	0.7596	over speed bumps	0.1615	go	ferrari
1.0	0.9275	to live in clean water	0.1615	need	sponge
0.0026	0.8887	yo	0.1615	has_property	benefit
0.0033	0.8774	fall	0.1615	can	pant
0.6225	0.7432	quails	0.1615	can	cape
0.0	0.8642	work	0.1615	can	severance
0.3346	0.8534	rap	0.1615	be better than	country music
0.0027	0.9196	on netflix anymore	0.1615	has_property	breaking bad
0.0008	0.9144	accurate	0.1615	has_property	lie detector
1.0	0.8537	to measure heart rate	0.1615	can be used	pulse
0.0014	0.8283	squeaking	0.1615	has_property	refrigeration
0.0083	0.8846	decisions	0.1615	make	senator
0.6219	0.9588	for used cars	0.1615	has_property	sticker
1.0	0.8223	6 d day	0.1615	has_property	june
0.0583	0.9007	soccer	0.1615	be used in	formation
1.0	0.9048	employees	0.1615	pay little	bank
0.0186	0.8157	quarry	0.1615	can	mitten
0.0	0.8642	work	0.1615	can	zeitgeist
1.0	0.8765	survival of species	0.1615	ensure	reproduction
0.0002	0.8569	quit	0.1615	can	wrangler
0.0002	0.9192	do	0.1615	can	protist
0.0092	0.9203	rid of waste	0.1615	get	planaria
0.0009	0.7707	quiet	0.1615	can	bollard
0.1695	0.8326	massachusetts	0.1615	has_property	vehicle
0.0	0.8642	work	0.1615	can	circus
0.0008	0.9274	dead	0.1615	has_property	virus
1.0	0.8248	ghost cells	0.1615	be termed	fat cell
0.3683	0.9281	two double bonds	0.1615	have	sulfur dioxide
0.1328	0.918	in the small intestine	0.1615	be absorbed	fructose
0.1356	0.8143	amplitude	0.1615	depend on	period
0.0012	0.7962	last	0.1615	can	apricot
0.0001	0.9469	good	0.1615	has_trait	thunderstorm
0.0001	0.9583	uk	0.1615	has_property	trim
0.0572	0.947	humans	0.1615	be to	fungi
0.0012	0.8579	online	0.1615	has_property	household appliance
0.0004	0.8746	exist	0.1615	can	strategian
0.0822	0.823	protection	0.1615	has_property	crop
0.1439	0.7284	petrified	0.1615	become	fossil
0.0006	0.905	help	0.1615	can	gerund
1.0	0.7789	partner of marx as political philosopher of communism	0.1615	be considered as	engels
0.0049	0.9184	dangerous	0.1615	can be	visible light
0.0013	0.9642	same	0.1615	be	acute triangle
0.1127	0.9185	california	0.1615	be popular in	stucco
0.0745	0.8074	deposited	0.1615	has_property	clast
0.0002	0.9384	be	0.1615	can	price
0.0084	0.8677	respiratory system	0.1615	affect	burn
0.0008	0.9388	city	0.1615	has_property	genova
0.0004	0.8372	twitch	0.1615	can	pneumonia
0.0137	0.8316	windy	0.1615	has_weather	fall
0.1699	0.7405	emulsifier	0.1615	has_property	egg yolk
0.1007	0.8458	atmosphere	0.1615	form in	acid
0.0169	0.9129	two names	0.1615	have	typhoon
0.0827	0.9029	stadium	0.1615	has_property	mcg
0.1244	0.8884	climate change	0.1615	can reduce	solar energy
0.0002	0.8951	are	0.1615	can	alternator
0.0002	0.8596	occur	0.1615	can	monacan
0.0051	0.8715	babies	0.1615	make	fly
0.0656	0.8581	dribble	0.1615	can	teapot
0.0013	0.9812	important to us	0.1615	has_property	sulfur
0.6125	0.8735	warm temperatures	0.1615	grow in	bacterium
0.0024	0.8367	epidemic	0.1615	has_property	crop
0.0091	0.8528	slr	0.1615	has_property	crop
0.1047	0.8882	gene therapy	0.1615	be used in	recombinant dna
0.0491	0.9573	in flour	0.1615	has_property	benzoyl peroxide
