local_sigma	neighborhood_sigma	object	plausibility	predicate	subject
1.0	0.8775	related in thing	0.1393	be	structure
0.0096	0.899	up	0.1393	throw	turtle
0.1551	0.7766	hard surfaces	0.1393	bounce higher on	tennis ball
1.0	0.8272	body fluids	0.1393	dispose of	funeral home
0.0039	0.8342	dwarf	0.1393	can	avenger
0.0005	0.8621	set	0.1393	can	thong
1.0	0.7082	low wind shear	0.1393	need	hurricane
0.0007	0.8212	snap	0.1393	can	novel
1.0	0.6468	the normal social codes	0.1393	distort	war
1.0	0.8186	others	0.1393	contradict	rebel
0.0073	0.9862	important to the human body	0.1393	has_property	hydrogen
0.0019	0.8646	plan	0.1393	can	surface
1.0	0.8425	wonderland	0.1393	find in	alice
0.0014	0.8598	rise	0.1393	can	meringue
0.0113	0.8272	rank	0.1393	can	bird
0.001	0.8488	awake	0.1393	can	goldfish
0.0019	0.8472	gap	0.1393	can	goldfish
1.0	0.8212	in a vacuum chamber	0.1393	be tested	rocket engine
1.0	0.6418	tumbling	0.1393	clean together	clothes
0.0003	0.877	cut	0.1393	can	koala
0.4955	0.8747	coast	0.1393	affect	mangrove
0.0367	0.8506	lamp	0.1393	has_property	swag
0.0506	0.8236	fat	0.1393	look	robin
0.0038	0.8678	noun	0.1393	has_property	participle
0.0364	0.9041	water	0.1393	breathe under	sea creature
1.0	0.8949	laughing philosopher	0.1393	be known as	democritus
0.0008	0.8882	if	0.1393	has_property	check
0.4557	0.7454	thoracic spine rare	0.1393	be in	herniated disc
1.0	0.8297	car windows	0.1393	hang out of	dog
0.0521	0.9293	boat	0.1393	be on	porpoise
0.3585	0.8676	reproduce	0.1393	help	insect
0.0002	0.8596	occur	0.1393	can	brick
0.002	0.9103	sing	0.1393	can	mermaid
0.0001	0.9389	made	0.1393	has_property	incendiary bomb
0.0331	0.866	skis	0.1393	can	ji
0.0022	0.9523	china	0.1393	be in	sweatshop
0.0514	0.9175	is	0.1393	be good	porridge
1.0	0.8747	louder in the south	0.1393	has_property	thunder
0.0063	0.8548	each other	0.1393	hate	peru
0.0014	0.9447	rare	0.1393	has_property	boxer
1.0	0.7818	a sacred animal in china	0.1393	has_property	dragon
0.0318	0.9203	photo shop	0.1393	be in	silk screen print
0.0003	0.8772	lyrics	0.1393	can	whale
1.0	0.8916	to lit	0.1393	be	intro
0.1105	0.8364	outer	0.1393	has_property	outer space
0.0045	0.9057	love	0.1393	can	sword
1.0	0.7795	more interested	0.1393	seem	guy
0.0134	0.9404	room	0.1393	has_property	standard
0.0008	0.7898	sic	0.1393	can	advertisement
0.4756	0.882	mumbai	0.1393	be expensive in	real estate
1.0	0.7459	britain	0.1393	achieve peace throughout	arthur
0.0002	0.8979	use	0.1393	can	alfalfa sprout
0.0006	0.9429	get	0.1393	can	nook
0.0003	0.9515	french	0.1393	be in	ball-and-socket joint
0.0051	0.9216	light	0.1393	emit	oled
0.0002	0.9384	be	0.1393	can	denim
0.0085	0.9591	cells	0.1393	has_property	yeast
0.1046	0.839	food	0.1393	provide	hunting
0.2796	0.8336	when pregnant	0.1393	act	cichlid
1.0	0.8193	fall asleep first right	0.1393	tend	man
0.0074	0.8884	non polar	0.1393	has_property	lipid
0.0385	0.8286	gut	0.1393	can	solid
1.0	0.7927	ports	0.1393	change	cruise ship
0.0004	0.8815	lyrics	0.1393	has_property	rhyme
0.0058	0.8729	fast	0.1393	can	nitril
1.0	0.6448	pigmented	0.1393	get	lip
1.0	0.8705	i 'm a fed	0.1393	think	everybody
0.0031	0.8425	mix	0.1393	can	bug
1.0	0.7901	about sex from the media	0.1393	learn	teen
0.839	0.8283	plague	0.1393	get	flea
1.0	0.8751	240 volts	0.1393	have voltage of	europe
0.0043	0.8361	noisy	0.1393	has_property	neighbor
0.0066	0.8387	power	0.1393	get	train
0.1235	0.9041	family	0.1393	can affect	obesity
1.0	0.7986	manchester delayed	0.1393	be from	flight
0.1972	0.946	won	0.1393	be in	salt
0.0211	0.9457	literature	0.1393	be in	motif
0.0012	0.9213	max	0.1393	be to	macadamia nut
1.0	0.7683	if a star is cold	0.1393	tell	scientist
0.0008	0.7794	fine	0.1393	can	reptile
0.1638	0.8973	x-ray	0.1393	appear on	fat
0.389	0.8531	anxiety disorders	0.1393	be different from	personality disorder
0.0659	0.8834	stomach	0.1393	settle	coke
1.0	0.8477	to flames	0.1393	go	moth
0.0033	0.816	flying	0.1393	has_movement	blackbird
0.0005	0.8329	squeak	0.1393	can	goldfish
0.0021	0.8245	tag	0.1393	can	goldfish
0.2228	0.8115	recall	0.1393	can	goldfish
0.1449	0.8419	demos	0.1393	can	goldfish
0.011	0.7764	key	0.1393	can	goldfish
0.0029	0.8744	queen	0.1393	can	goldfish
1.0	0.8374	work	0.1393	plant	bulb
0.2087	0.8848	source of protein	0.1393	be considered	leguminous plant
1.0	0.8223	galaxy	0.1393	affect	gravity
0.096	0.8445	cathedral	0.1393	has_property	aachen
1.0	0.6296	petting	0.1393	need	dog
0.0165	0.9059	usually	0.1393	occur	involuntary muscle
0.0007	0.9748	used	0.1393	can	oregano
0.1103	0.8423	of belly fat	0.1393	get rid	diabetic
0.0173	0.8327	prey	0.1393	catch	python
1.0	0.7002	arm cameras work	0.1393	stop	school bus
0.0256	0.9421	more sustainable	0.1393	can be	palm oil
0.0004	0.8745	gas	0.1393	can	condition
0.0653	0.8585	different from a cold	0.1393	has_property	strep throat
0.0003	0.9146	not	0.1393	has_property	sorus
0.0005	0.8077	ghost	0.1393	can	whale
0.1181	0.7344	cruising	0.1393	has_property	frankfurter
0.1269	0.9117	taxes	0.1393	avoid	ge
0.0002	0.943	alive	0.1393	has_property	living thing
0.1725	0.788	feet	0.1393	use	aircraft
0.0224	0.8328	boost	0.1393	has_property	gamma radiation
1.0	0.6843	other services	0.1393	refer clients to	counsellor
0.4063	0.9155	nasa	0.1393	be called	grandmother
0.3358	0.8291	always	0.1393	buffer	pandora
1.0	0.7098	in the typewriter huddle	0.1393	line up	player
0.0	0.8758	work	0.1393	can	metal saw
0.1067	0.8998	where they are	0.1393	be located	slum
0.0	0.9469	good	0.1393	has_trait	hyena
0.0015	0.9055	sleep	0.1393	has_property	racoon
0.3127	0.9658	humans	0.1393	be important of	forest
0.0064	0.839	rob	0.1393	can	tooth
0.4207	0.7874	on pandora	0.1393	work	skip
0.001	0.8548	type	0.1393	has_property	platelet
0.0002	0.9194	zero	0.1393	has_property	tide
1.0	0.67	to the value of humility	0.1393	related	obedience
0.0004	0.8369	types	0.1393	can	begonia
0.0006	0.8439	dying	0.1393	has_property	knife
0.001	0.8438	open	0.1393	can	pen
0.135	0.8984	stars	0.1393	can see	camera
0.78	0.8657	low when air is cold	0.1393	has_property	air pressure
0.0005	0.8329	squeak	0.1393	can	orchid
0.0014	0.8598	rise	0.1393	can	orchid
0.0003	0.8772	lyrics	0.1393	can	orchid
0.0004	0.8959	hurt	0.1393	can	orchid
0.6374	0.8592	ear plugs	0.1393	use	singer
0.0	0.9469	good	0.1393	has_trait	horror
1.0	0.8738	ground	0.1393	be lifted off	bed
0.0745	0.9099	mm	0.1393	be measured in	focal length
1.0	0.8846	good drink	0.1393	has_property	aperol spritz
0.0006	0.8721	smoke	0.1393	can	advertisement
0.3742	0.8829	crust	0.1393	can	nipple
0.0039	0.9031	cure	0.1393	can	myrsine
0.0017	0.8337	symbolize	0.1393	can	tooth
1.0	0.866	french	0.1393	have word in	girl
0.0037	0.9748	can used	0.1393	CAN	isotope
0.066	0.8838	loans	0.1393	get	college student
0.021	0.9294	eat	0.1393	want	owner
0.5435	0.8701	mental illness	0.1393	affect	labelling
0.1291	0.8879	roads	0.1393	form on	sinkhole
1.0	0.7995	on the egg	0.1393	appear	recruitment
0.0009	0.9055	lap	0.1393	can	grandparent
0.0045	0.8015	shrink	0.1393	can	plant
0.0005	0.8554	rhyme	0.1393	can	barrel
0.0149	0.8668	diesel	0.1393	has_property	race car
0.0003	0.806	put	0.1393	can	queen
1.0	0.7812	war	0.1393	no longer support	american
0.0003	0.9332	open	0.1393	has_trait	stadium
1.0	0.7545	valence shell	0.1393	can complete	atom
1.0	0.7481	breaking when i sharpen them	0.1393	keep	pencil
0.0002	0.945	money	0.1393	make	precious metal
1.0	0.7024	collie	0.1393	am have	texas
0.0002	0.8833	quiet	0.1393	has_trait	utensil
0.0002	0.8596	occur	0.1393	can	writer
0.0003	0.806	put	0.1393	can	jet
0.3021	0.8668	greenhouse gases	0.1393	emit	landfill
0.8311	0.823	hawk	0.1393	be vs	falcon
0.0005	0.8329	squeak	0.1393	can	insect
0.2674	0.8389	concussions	0.1393	can prevent	helmet
0.0261	0.8191	offs	0.1393	can	brick
0.0068	0.8876	human body	0.1393	affect	food
1.0	0.7685	date	0.1393	expect something after	guy
0.0275	0.9601	vitamins	0.1393	be in	tin
0.1329	0.9341	netflix	0.1393	show on	black panther
0.0263	0.85	blank	0.1393	has_property	pie chart
1.0	0.7259	grenades work	0.1393	propelled	rocket
0.0035	0.8813	esp	0.1393	has_property	sharper
1.0	0.8533	jet lag	0.1393	reduce	787
0.0656	0.819	oozing	0.1393	can	tooth
0.0187	0.7937	faded	0.1393	can	tooth
0.0249	0.6418	equalize	0.1393	can	tooth
0.0006	0.9274	killed	0.1393	has_property	piggy
0.0489	0.9027	to be calibrated	0.1393	need	spectroscope
1.0	0.8992	cats	0.1393	be transmitted to	rabies
0.6816	0.8532	hades	0.1393	be related to	persephone
0.0023	0.9132	cold	0.1393	get	refrigerant
0.6937	0.856	turkey	0.1393	be important to	istanbul
0.4154	0.8101	dollar	0.1393	be valued against	rupee
0.4353	0.8377	combs	0.1393	can	re
0.0011	0.7962	last	0.1393	can	pie
0.0005	0.884	ice	0.1393	can	stinger
0.0058	0.8825	japan	0.1393	can	spider
1.0	0.8365	endoplasmic reticulum	0.1393	attach	ribosome
0.5783	0.9245	to the real world	0.1393	can be applied	sociology
0.0076	0.9456	pictures	0.1393	take	space probe
0.001	0.9067	birth	0.1393	give	singaporean
0.0004	0.8253	end	0.1393	can	superhero
0.2477	0.8734	the human body	0.1393	benefit	sunlight
0.0005	0.8077	ghost	0.1393	can	bug
0.0004	0.8754	speed	0.1393	can	restaurant
1.0	0.8677	different prices for mot	0.1393	charge	garage
1.0	0.9468	rocks	0.1393	form	tectonics
1.0	0.6144	misjudged	0.1393	has_property	outsider
0.0082	0.942	5 gpa	0.1393	have	ibrd
0.3299	0.7259	speckled	0.1393	has_property	banana
0.6646	0.7779	google classroom	0.1393	log into	student
